key	value
1507	U00914
1508	U01400
1509	U01401
1510	U01402
1511	U01403
1512	U01404
1513	U01405
1514	U01406
1515	U01407
1516	U01408
1517	U01409
1518	U01410
1519	U01411
1520	U01412
1521	U01800
1522	U01801
1523	U01802
1524	U01803
1525	U01804
1526	U01805
1527	U01806
1528	U01807
1529	U01900
1530	U01901
1531	U05400
1532	U05401
1533	U07002
1534	U07003
1535	U07009
1536	U07010
1537	U07011
1538	U07012
1539	U07013
1540	U07014
1541	U07015
1542	U07016
1543	U07017
1544	U07018
1545	U07019
1546	U07020
1547	U07021
1548	U07022
1549	U07023
1550	U07024
1551	U07025
1552	U07026
1553	U07027
1554	U07028
1555	U07029
1556	U07030
1557	U07031
1558	U07032
1559	U07033
1560	U07034
1561	U07035
1562	U07036
1563	U07037
1564	U07038
1565	U07039
1566	U07040
1567	U07041
1568	U07042
1569	U07043
1570	U07044
1571	U07045
1572	U07046
1573	U07047
1574	U07048
1575	U07049
1576	U07050
1577	U07051
1578	U07052
1579	U07053
1580	U07054
1581	U07055
1582	U07056
1583	U07057
1584	U07058
1585	U07059
1586	U07060
1587	U07061
1588	U07063
1589	U07064
1590	U07065
1591	U07066
1592	U07067
1593	U07068
1594	U07069
1595	U07200
1596	U07201
1597	U07202
1598	U07203
1599	U07400
1600	U07401
1601	U07402
1602	U07403
1603	U07404
1604	U07405
1605	U07406
1606	U07408
1607	U07409
1608	U07410
1609	U07411
1610	U07412
1611	U07413
1612	U07415
1613	U07417
1614	U07418
1615	U07421
1616	U07424
1617	U07425
1618	U07429
1619	U07431
1620	U07432
1621	U07433
1622	U07434
1623	U07439
1624	U07440
1625	U07441
1626	U07442
1627	U07443
1628	U07444
1629	U07445
1630	U07446
1631	U07447
1632	U07448
1633	U07449
1634	U07450
1635	U07451
1636	U07452
1637	U07453
1638	U07454
1639	U07455
1640	U07456
1641	U07457
1642	U07458
1643	U07459
1644	U07900
1645	U07901
1646	U07902
1647	U07903
1648	U07904
1649	U07905
1650	U07906
1651	U09200
1652	U09201
1653	U09202
1654	U09203
1655	U09400
1656	U09401
1657	U09402
1658	U09403
1659	U09404
1660	U09405
1661	U09406
1662	U09800
1663	U09801
1664	U09802
1665	U09803
1666	U09804
1667	U09805
1668	U09806
1669	U09807
1670	U11002
1671	U11003
1672	U11004
1673	U11200
1674	U11201
1675	U11202
1676	U11203
1677	U11400
1678	U11401
1679	U11402
1680	U11403
1681	U11404
1682	U11405
1683	U11406
1684	U11407
1685	U11408
1686	U11409
1687	U11410
1688	U11411
1689	U11412
1690	U11413
1691	U11414
1692	U11415
1693	U15001
1694	U15002
1695	U15003
1696	U15010
1697	U15011
1698	U15012
1699	U15200
1700	U15201
1701	U15202
1702	U15203
1703	U15400
1704	U15401
1705	U15402
1706	U15403
1707	U15406
1708	U15408
1709	U15413
1710	U15414
1711	U15415
1712	U15416
1713	U15427
1714	U15428
1715	U15429
1716	U15430
1717	U15431
1718	U15432
1719	U15433
1720	U15434
1721	U15438
1722	U15439
1723	U15440
1724	U15441
1725	U15442
1726	U15443
1727	U15444
1728	U15445
1729	U15446
1730	U15447
1731	U15448
1732	U15449
1733	U15450
1734	U15451
1735	U15452
1736	U15453
1737	U15502
1738	U15503
1739	U15504
1740	U15505
1741	U15506
1742	U15507
1743	U15508
1744	U15509
1745	U15510
1746	U15511
1747	U15512
1748	U15513
1749	U15514
1750	U15515
1751	U17001
1752	U17002
1753	U17003
1754	U17004
1755	U17005
1756	U17022
1757	U17200
1758	U17201
